,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link,Arena_Corrected,Teams,Game_Latitude,Game_Longitude,Prev_Game_Lat,Prev_Game_Long,Prev_Date,Travel_Distance,Back_to_Back,Team,Winner,Opponent_WinPct
660,2024-01-18,7:30p,Washington Wizards,109,New York Knicks,113,Madison Square Garden (IV),/boxscores/202401180NYK.html,Madison Square Garden,Knicks,40.75074427,-73.99350307,38.89838877,-77.02081388,1/15/24,330.5106390806268,False,Washington Wizards,New York Knicks,0.5853658536585366
2080,2024-01-18,7:30p,Chicago Bulls,116,Toronto Raptors,110,Scotiabank Arena,/boxscores/202401180TOR.html,Scotiabank Arena,Raptors,43.64395522,-79.37918473,41.4969733,-81.68818615,1/15/24,304.5138260846434,False,Chicago Bulls,Chicago Bulls,0.3855421686746988
1377,2024-01-18,7:30p,Washington Wizards,109,New York Knicks,113,Madison Square Garden (IV),/boxscores/202401180NYK.html,Madison Square Garden,Knicks,40.75074427,-73.99350307,40.75074427,-73.99350307,1/17/24,0.0,True,New York Knicks,New York Knicks,0.17721518987341772
215,2024-01-18,10:00p,Memphis Grizzlies,103,Minnesota Timberwolves,118,Target Center,/boxscores/202401180MIN.html,Target Center,Wolves,44.97989588,-93.27615907,42.34136826,-83.05529949,1/17/24,872.2298662302256,True,Minnesota Timberwolves,Minnesota Timberwolves,0.37037037037037035
839,2024-01-19,8:00p,Phoenix Suns,123,New Orleans Pelicans,109,Smoothie King Center,/boxscores/202401190NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,29.94947202,-90.08207826,1/17/24,0.0,False,New Orleans Pelicans,Phoenix Suns,0.55
1743,2024-01-19,7:00p,Philadelphia 76ers,124,Orlando Magic,109,Kia Center,/boxscores/202401190ORL.html,Kia Center,Magic,28.53944289,-81.38376767,33.75786112,-84.39606134,1/17/24,647.1120500643156,False,Orlando Magic,Philadelphia 76ers,0.6666666666666666
2328,2024-01-19,10:00p,Indiana Pacers,115,Portland Trail Blazers,118,Moda Center,/boxscores/202401190POR.html,Moda Center,Trailblazers,45.53187324,-122.6668208,38.58042676,-121.4996817,1/18/24,778.9234143044382,True,Indiana Pacers,Portland Trail Blazers,0.275
1472,2024-01-19,8:00p,Atlanta Hawks,109,Miami Heat,108,Kaseya Center,/boxscores/202401190MIA.html,Kaseya Center,Heat,25.7814792,-80.18699451,43.64395522,-79.37918473,1/17/24,1987.561420189458,False,Miami Heat,Atlanta Hawks,0.425
2426,2024-01-19,7:00p,San Antonio Spurs,120,Charlotte Hornets,124,Spectrum Center,/boxscores/202401190CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,42.36641599,-71.06216746,1/17/24,1159.7593222565313,False,San Antonio Spurs,Charlotte Hornets,0.21052631578947367
496,2024-01-19,8:00p,Atlanta Hawks,109,Miami Heat,108,Kaseya Center,/boxscores/202401190MIA.html,Kaseya Center,Heat,25.7814792,-80.18699451,33.75786112,-84.39606134,1/17/24,975.2697748161092,False,Atlanta Hawks,Atlanta Hawks,0.5783132530120482
1914,2024-01-19,10:30p,Brooklyn Nets,130,Los Angeles Lakers,112,Crypto.com Arena,/boxscores/202401190LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,45.53187324,-122.6668208,1/17/24,1331.0754816867934,False,Brooklyn Nets,Brooklyn Nets,0.5116279069767442
1562,2024-01-19,7:30p,Denver Nuggets,102,Boston Celtics,100,TD Garden,/boxscores/202401190BOS.html,TD Garden,Celtics,42.37,-71.06216746,39.9016048,-75.17200096,1/16/24,440.1324726892938,False,Denver Nuggets,Denver Nuggets,0.7804878048780488
396,2024-01-19,7:30p,Denver Nuggets,102,Boston Celtics,100,TD Garden,/boxscores/202401190BOS.html,TD Garden,Celtics,42.37,-71.06216746,42.36641599,-71.06216746,1/17/24,0.3985237290433264,False,Boston Celtics,Denver Nuggets,0.6705882352941176
43,2024-01-19,10:30p,Brooklyn Nets,130,Los Angeles Lakers,112,Crypto.com Arena,/boxscores/202401190LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,34.04327087,-118.2673077,1/17/24,0.0,False,Los Angeles Lakers,Brooklyn Nets,0.4074074074074074
129,2024-01-19,8:00p,Phoenix Suns,123,New Orleans Pelicans,109,Smoothie King Center,/boxscores/202401190NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,33.44599214,-112.0712861,1/16/24,2112.194577522353,False,Phoenix Suns,Phoenix Suns,0.5882352941176471
2594,2024-01-19,7:00p,San Antonio Spurs,120,Charlotte Hornets,124,Spectrum Center,/boxscores/202401190CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,29.94947202,-90.08207826,1/17/24,1045.168738465447,False,Charlotte Hornets,Charlotte Hornets,0.1728395061728395
1286,2024-01-19,7:00p,Philadelphia 76ers,124,Orlando Magic,109,Kia Center,/boxscores/202401190ORL.html,Kia Center,Magic,28.53944289,-81.38376767,39.9016048,-75.17200096,1/16/24,1385.5531845800135,False,Philadelphia 76ers,Philadelphia 76ers,0.5301204819277109
1113,2024-01-19,10:00p,Indiana Pacers,115,Portland Trail Blazers,118,Moda Center,/boxscores/202401190POR.html,Moda Center,Trailblazers,45.53187324,-122.6668208,45.53187324,-122.6668208,1/17/24,0.0,False,Portland Trail Blazers,Portland Trail Blazers,0.5647058823529412
1998,2024-01-20,7:30p,Toronto Raptors,100,New York Knicks,126,Madison Square Garden (IV),/boxscores/202401200NYK.html,Madison Square Garden,Knicks,40.75074427,-73.99350307,43.64395522,-79.37918473,1/18/24,547.8310719300396,False,Toronto Raptors,New York Knicks,0.5952380952380952
1287,2024-01-20,7:00p,Philadelphia 76ers,97,Charlotte Hornets,89,Spectrum Center,/boxscores/202401200CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,28.53944289,-81.38376767,1/19/24,745.2208256045266,True,Philadelphia 76ers,Philadelphia 76ers,0.23076923076923078
2427,2024-01-20,7:00p,San Antonio Spurs,131,Washington Wizards,127,Capital One Arena,/boxscores/202401200WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,35.22545375,-80.83938972,1/19/24,530.5500615817883,True,San Antonio Spurs,San Antonio Spurs,0.175
313,2024-01-20,8:00p,Utah Jazz,126,Houston Rockets,127,Toyota Center,/boxscores/202401200HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,40.75074427,-73.99350307,1/17/24,2284.1750319589946,False,Houston Rockets,Houston Rockets,0.5116279069767442
497,2024-01-20,7:30p,Cleveland Cavaliers,116,Atlanta Hawks,95,State Farm Arena,/boxscores/202401200ATL.html,State Farm Arena,Hawks,33.75786112,-84.39606134,25.7814792,-80.18699451,1/19/24,975.2697748161092,True,Atlanta Hawks,Cleveland Cavaliers,0.6153846153846154
580,2024-01-20,3:00p,Milwaukee Bucks,141,Detroit Pistons,135,Little Caesars Arena,/boxscores/202401200DET.html,Little Caesars Arena,Pistons,42.34136826,-83.05529949,42.34136826,-83.05529949,1/17/24,0.0,False,Detroit Pistons,Milwaukee Bucks,0.6829268292682927
1378,2024-01-20,7:30p,Toronto Raptors,100,New York Knicks,126,Madison Square Garden (IV),/boxscores/202401200NYK.html,Madison Square Garden,Knicks,40.75074427,-73.99350307,40.75074427,-73.99350307,1/18/24,0.0,False,New York Knicks,New York Knicks,0.3764705882352941
2509,2024-01-20,3:00p,Milwaukee Bucks,141,Detroit Pistons,135,Little Caesars Arena,/boxscores/202401200DET.html,Little Caesars Arena,Pistons,42.34136826,-83.05529949,41.4969733,-81.68818615,1/17/24,147.00120576407616,False,Milwaukee Bucks,Milwaukee Bucks,0.0963855421686747
2163,2024-01-20,8:00p,Memphis Grizzlies,96,Chicago Bulls,125,United Center,/boxscores/202401200CHI.html,United Center,Bulls,41.88085455,-87.674251,44.97989588,-93.27615907,1/18/24,568.4322604477211,False,Memphis Grizzlies,Chicago Bulls,0.46511627906976744
742,2024-01-20,7:30p,Cleveland Cavaliers,116,Atlanta Hawks,95,State Farm Arena,/boxscores/202401200ATL.html,State Farm Arena,Hawks,33.75786112,-84.39606134,41.4969733,-81.68818615,1/17/24,892.8440097309417,False,Cleveland Cavaliers,Cleveland Cavaliers,0.43373493975903615
2247,2024-01-20,8:00p,Utah Jazz,126,Houston Rockets,127,Toyota Center,/boxscores/202401200HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,40.76849155,-111.9011089,1/18/24,1932.12469255831,False,Utah Jazz,Houston Rockets,0.48148148148148145
661,2024-01-20,7:00p,San Antonio Spurs,131,Washington Wizards,127,Capital One Arena,/boxscores/202401200WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,40.75074427,-73.99350307,1/18/24,330.5106390806268,False,Washington Wizards,San Antonio Spurs,0.18072289156626506
1196,2024-01-20,8:00p,Oklahoma City Thunder,102,Minnesota Timberwolves,97,Target Center,/boxscores/202401200MIN.html,Target Center,Wolves,44.97989588,-93.27615907,40.76849155,-111.9011089,1/18/24,1584.1886058203909,False,Oklahoma City Thunder,Oklahoma City Thunder,0.7317073170731707
216,2024-01-20,8:00p,Oklahoma City Thunder,102,Minnesota Timberwolves,97,Target Center,/boxscores/202401200MIN.html,Target Center,Wolves,44.97989588,-93.27615907,44.97989588,-93.27615907,1/18/24,0.0,False,Minnesota Timberwolves,Oklahoma City Thunder,0.6867469879518072
2595,2024-01-20,7:00p,Philadelphia 76ers,97,Charlotte Hornets,89,Spectrum Center,/boxscores/202401200CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,35.22545375,-80.83938972,1/19/24,0.0,True,Charlotte Hornets,Philadelphia 76ers,0.6790123456790124
2081,2024-01-20,8:00p,Memphis Grizzlies,96,Chicago Bulls,125,United Center,/boxscores/202401200CHI.html,United Center,Bulls,41.88085455,-87.674251,43.64395522,-79.37918473,1/18/24,704.6348284754943,False,Chicago Bulls,Chicago Bulls,0.3614457831325301
662,2024-01-21,6:00p,Denver Nuggets,113,Washington Wizards,104,Capital One Arena,/boxscores/202401210WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,38.89838877,-77.02081388,1/20/24,0.0,True,Washington Wizards,Denver Nuggets,0.6744186046511628
397,2024-01-21,7:00p,Boston Celtics,116,Houston Rockets,107,Toyota Center,/boxscores/202401210HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,42.36641599,-71.06216746,1/19/24,2581.4745448498925,False,Boston Celtics,Boston Celtics,0.4878048780487805
1563,2024-01-21,6:00p,Denver Nuggets,113,Washington Wizards,104,Capital One Arena,/boxscores/202401210WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,42.36641599,-71.06216746,1/19/24,633.4028490096308,False,Denver Nuggets,Denver Nuggets,0.1686746987951807
314,2024-01-21,7:00p,Boston Celtics,116,Houston Rockets,107,Toyota Center,/boxscores/202401210HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,29.75115882,-95.36222803,1/20/24,0.0,True,Houston Rockets,Boston Celtics,0.7647058823529411
1654,2024-01-21,3:30p,Brooklyn Nets,114,Los Angeles Clippers,125,Crypto.com Arena,/boxscores/202401210LAC.html,Crypto.com Arena,Clippers,34.04327087,-118.2673077,34.04327087,-118.2673077,1/16/24,0.0,False,Los Angeles Clippers,Los Angeles Clippers,0.4146341463414634
1473,2024-01-21,6:00p,Miami Heat,87,Orlando Magic,105,Kia Center,/boxscores/202401210ORL.html,Kia Center,Magic,28.53944289,-81.38376767,25.7814792,-80.18699451,1/19/24,328.7268275258099,False,Miami Heat,Orlando Magic,0.5238095238095238
1915,2024-01-21,3:30p,Brooklyn Nets,114,Los Angeles Clippers,125,Crypto.com Arena,/boxscores/202401210LAC.html,Crypto.com Arena,Clippers,34.04327087,-118.2673077,34.04327087,-118.2673077,1/19/24,0.0,False,Brooklyn Nets,Los Angeles Clippers,0.654320987654321
2329,2024-01-21,8:00p,Indiana Pacers,110,Phoenix Suns,117,Footprint Center,/boxscores/202401210PHO.html,Footprint Center,Suns,33.44599214,-112.0712861,45.53187324,-122.6668208,1/19/24,1619.4075707182458,False,Indiana Pacers,Phoenix Suns,0.5609756097560976
1114,2024-01-21,10:00p,Portland Trail Blazers,110,Los Angeles Lakers,134,Crypto.com Arena,/boxscores/202401210LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,45.53187324,-122.6668208,1/19/24,1331.0754816867934,False,Portland Trail Blazers,Los Angeles Lakers,0.5
44,2024-01-21,10:00p,Portland Trail Blazers,110,Los Angeles Lakers,134,Crypto.com Arena,/boxscores/202401210LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,34.04327087,-118.2673077,1/19/24,0.0,False,Los Angeles Lakers,Los Angeles Lakers,0.2891566265060241
130,2024-01-21,8:00p,Indiana Pacers,110,Phoenix Suns,117,Footprint Center,/boxscores/202401210PHO.html,Footprint Center,Suns,33.44599214,-112.0712861,29.94947202,-90.08207826,1/19/24,2112.194577522353,False,Phoenix Suns,Phoenix Suns,0.5517241379310345
1744,2024-01-21,6:00p,Miami Heat,87,Orlando Magic,105,Kia Center,/boxscores/202401210ORL.html,Kia Center,Magic,28.53944289,-81.38376767,28.53944289,-81.38376767,1/19/24,0.0,False,Orlando Magic,Orlando Magic,0.5647058823529412
1288,2024-01-22,7:00p,San Antonio Spurs,123,Philadelphia 76ers,133,Wells Fargo Center,/boxscores/202401220PHI.html,Wells Fargo Center,76ers,39.9016048,-75.17200096,35.22545375,-80.83938972,1/20/24,720.7194595690362,False,Philadelphia 76ers,Philadelphia 76ers,0.19047619047619047
2428,2024-01-22,7:00p,San Antonio Spurs,123,Philadelphia 76ers,133,Wells Fargo Center,/boxscores/202401220PHI.html,Wells Fargo Center,76ers,39.9016048,-75.17200096,38.89838877,-77.02081388,1/20/24,194.1052369402559,False,San Antonio Spurs,Philadelphia 76ers,0.6867469879518072
217,2024-01-22,8:00p,Charlotte Hornets,128,Minnesota Timberwolves,125,Target Center,/boxscores/202401220MIN.html,Target Center,Wolves,44.97989588,-93.27615907,44.97989588,-93.27615907,1/20/24,0.0,False,Minnesota Timberwolves,Charlotte Hornets,0.225
581,2024-01-22,7:00p,Milwaukee Bucks,122,Detroit Pistons,113,Little Caesars Arena,/boxscores/202401220DET.html,Little Caesars Arena,Pistons,42.34136826,-83.05529949,42.34136826,-83.05529949,1/20/24,0.0,False,Detroit Pistons,Milwaukee Bucks,0.6904761904761905
743,2024-01-22,7:00p,Cleveland Cavaliers,126,Orlando Magic,99,Kia Center,/boxscores/202401220ORL.html,Kia Center,Magic,28.53944289,-81.38376767,33.75786112,-84.39606134,1/20/24,647.1120500643156,False,Cleveland Cavaliers,Cleveland Cavaliers,0.5348837209302325
498,2024-01-22,10:00p,Atlanta Hawks,107,Sacramento Kings,122,Golden 1 Center,/boxscores/202401220SAC.html,Golden 1 Center,Kings,38.58042676,-121.4996817,33.75786112,-84.39606134,1/20/24,3350.424368693828,False,Atlanta Hawks,Sacramento Kings,0.5609756097560976
1999,2024-01-22,7:30p,Memphis Grizzlies,108,Toronto Raptors,100,Scotiabank Arena,/boxscores/202401220TOR.html,Scotiabank Arena,Raptors,43.64395522,-79.37918473,40.75074427,-73.99350307,1/20/24,547.8310719300396,False,Toronto Raptors,Memphis Grizzlies,0.35714285714285715
2510,2024-01-22,7:00p,Milwaukee Bucks,122,Detroit Pistons,113,Little Caesars Arena,/boxscores/202401220DET.html,Little Caesars Arena,Pistons,42.34136826,-83.05529949,42.34136826,-83.05529949,1/20/24,0.0,False,Milwaukee Bucks,Milwaukee Bucks,0.09411764705882353
131,2024-01-22,9:00p,Chicago Bulls,113,Phoenix Suns,115,Footprint Center,/boxscores/202401220PHO.html,Footprint Center,Suns,33.44599214,-112.0712861,33.44599214,-112.0712861,1/21/24,0.0,True,Phoenix Suns,Phoenix Suns,0.4772727272727273
1745,2024-01-22,7:00p,Cleveland Cavaliers,126,Orlando Magic,99,Kia Center,/boxscores/202401220ORL.html,Kia Center,Magic,28.53944289,-81.38376767,28.53944289,-81.38376767,1/21/24,0.0,True,Orlando Magic,Cleveland Cavaliers,0.6296296296296297
398,2024-01-22,8:30p,Boston Celtics,119,Dallas Mavericks,110,American Airlines Center,/boxscores/202401220DAL.html,American Airlines Center,Mavericks,32.79084174,-96.81031908,29.75115882,-95.36222803,1/21/24,364.930012979095,True,Boston Celtics,Boston Celtics,0.5714285714285714
2082,2024-01-22,9:00p,Chicago Bulls,113,Phoenix Suns,115,Footprint Center,/boxscores/202401220PHO.html,Footprint Center,Suns,33.44599214,-112.0712861,41.88085455,-87.674251,1/20/24,2332.8011995425454,False,Chicago Bulls,Phoenix Suns,0.5764705882352941
1011,2024-01-22,8:30p,Boston Celtics,119,Dallas Mavericks,110,American Airlines Center,/boxscores/202401220DAL.html,American Airlines Center,Mavericks,32.79084174,-96.81031908,34.04327087,-118.2673077,1/17/24,1992.6973994581128,False,Dallas Mavericks,Boston Celtics,0.7701149425287356
2164,2024-01-22,7:30p,Memphis Grizzlies,108,Toronto Raptors,100,Scotiabank Arena,/boxscores/202401220TOR.html,Scotiabank Arena,Raptors,43.64395522,-79.37918473,41.88085455,-87.674251,1/20/24,704.6348284754943,False,Memphis Grizzlies,Memphis Grizzlies,0.367816091954023
2596,2024-01-22,8:00p,Charlotte Hornets,128,Minnesota Timberwolves,125,Target Center,/boxscores/202401220MIN.html,Target Center,Wolves,44.97989588,-93.27615907,35.22545375,-80.83938972,1/20/24,1511.635320806827,False,Charlotte Hornets,Charlotte Hornets,0.7058823529411765
926,2024-01-22,10:00p,Atlanta Hawks,107,Sacramento Kings,122,Golden 1 Center,/boxscores/202401220SAC.html,Golden 1 Center,Kings,38.58042676,-121.4996817,38.58042676,-121.4996817,1/18/24,0.0,False,Sacramento Kings,Sacramento Kings,0.4235294117647059
2248,2024-01-23,8:00p,Utah Jazz,124,New Orleans Pelicans,153,Smoothie King Center,/boxscores/202401230NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,29.75115882,-95.36222803,1/20/24,509.6632030656073,False,Utah Jazz,New Orleans Pelicans,0.5813953488372093
1115,2024-01-23,8:00p,Portland Trail Blazers,109,Oklahoma City Thunder,111,Paycom Center,/boxscores/202401230OKC.html,Paycom Center,Thunder,35.46387036,-97.51509234,34.04327087,-118.2673077,1/21/24,1898.9686651830011,False,Portland Trail Blazers,Oklahoma City Thunder,0.6904761904761905
1197,2024-01-23,8:00p,Portland Trail Blazers,109,Oklahoma City Thunder,111,Paycom Center,/boxscores/202401230OKC.html,Paycom Center,Thunder,35.46387036,-97.51509234,44.97989588,-93.27615907,1/20/24,1117.2333333771198,False,Oklahoma City Thunder,Oklahoma City Thunder,0.2823529411764706
840,2024-01-23,8:00p,Utah Jazz,124,New Orleans Pelicans,153,Smoothie King Center,/boxscores/202401230NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,29.94947202,-90.08207826,1/19/24,0.0,False,New Orleans Pelicans,New Orleans Pelicans,0.4943820224719101
1564,2024-01-23,7:00p,Denver Nuggets,114,Indiana Pacers,109,Gainbridge Fieldhouse,/boxscores/202401230IND.html,Gainbridge Fieldhouse,Pacers,39.76434114,-86.15563165,38.89838877,-77.02081388,1/21/24,791.1961684834789,False,Denver Nuggets,Denver Nuggets,0.5454545454545454
1916,2024-01-23,7:30p,New York Knicks,108,Brooklyn Nets,103,Barclays Center,/boxscores/202401230BRK.html,Barclays Center,Nets,40.68282142,-73.97543706,34.04327087,-118.2673077,1/21/24,3940.924361166529,False,Brooklyn Nets,New York Knicks,0.6046511627906976
1655,2024-01-23,10:00p,Los Angeles Lakers,116,Los Angeles Clippers,127,Crypto.com Arena,/boxscores/202401230LAC.html,Crypto.com Arena,Clippers,34.04327087,-118.2673077,34.04327087,-118.2673077,1/21/24,0.0,False,Los Angeles Clippers,Los Angeles Clippers,0.5111111111111111
1379,2024-01-23,7:30p,New York Knicks,108,Brooklyn Nets,103,Barclays Center,/boxscores/202401230BRK.html,Barclays Center,Nets,40.68282142,-73.97543706,40.75074427,-73.99350307,1/20/24,7.704622594456031,False,New York Knicks,New York Knicks,0.4
2330,2024-01-23,7:00p,Denver Nuggets,114,Indiana Pacers,109,Gainbridge Fieldhouse,/boxscores/202401230IND.html,Gainbridge Fieldhouse,Pacers,39.76434114,-86.15563165,33.44599214,-112.0712861,1/21/24,2407.8634882423007,False,Indiana Pacers,Denver Nuggets,0.6853932584269663
45,2024-01-23,10:00p,Los Angeles Lakers,116,Los Angeles Clippers,127,Crypto.com Arena,/boxscores/202401230LAC.html,Crypto.com Arena,Clippers,34.04327087,-118.2673077,34.04327087,-118.2673077,1/21/24,0.0,False,Los Angeles Lakers,Los Angeles Clippers,0.6626506024096386
1198,2024-01-24,9:30p,Oklahoma City Thunder,140,San Antonio Spurs,114,Frost Bank Center,/boxscores/202401240SAS.html,Frost Bank Center,Spurs,29.42731446,-98.4374652,35.46387036,-97.51509234,1/23/24,676.7803749634147,True,Oklahoma City Thunder,Oklahoma City Thunder,0.18604651162790697
2429,2024-01-24,9:30p,Oklahoma City Thunder,140,San Antonio Spurs,114,Frost Bank Center,/boxscores/202401240SAS.html,Frost Bank Center,Spurs,29.42731446,-98.4374652,39.9016048,-75.17200096,1/22/24,2415.142173975557,False,San Antonio Spurs,Oklahoma City Thunder,0.7011494252873564
1831,2024-01-24,10:00p,Atlanta Hawks,112,Golden State Warriors,134,Chase Center,/boxscores/202401240GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,35.13827779,-90.05061859,1/15/24,2892.544276627162,False,Golden State Warriors,Golden State Warriors,0.4186046511627907
132,2024-01-24,8:30p,Phoenix Suns,132,Dallas Mavericks,109,American Airlines Center,/boxscores/202401240DAL.html,American Airlines Center,Mavericks,32.79084174,-96.81031908,33.44599214,-112.0712861,1/22/24,1421.8519171340447,False,Phoenix Suns,Phoenix Suns,0.5581395348837209
663,2024-01-24,7:00p,Minnesota Timberwolves,118,Washington Wizards,107,Capital One Arena,/boxscores/202401240WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,38.89838877,-77.02081388,1/21/24,0.0,False,Washington Wizards,Minnesota Timberwolves,0.6976744186046512
2165,2024-01-24,7:30p,Memphis Grizzlies,105,Miami Heat,96,Kaseya Center,/boxscores/202401240MIA.html,Kaseya Center,Heat,25.7814792,-80.18699451,43.64395522,-79.37918473,1/22/24,1987.561420189458,False,Memphis Grizzlies,Memphis Grizzlies,0.5581395348837209
744,2024-01-24,8:00p,Cleveland Cavaliers,116,Milwaukee Bucks,126,Fiserv Forum,/boxscores/202401240MIL.html,Fiserv Forum,Bucks,43.04526446,-87.91742912,28.53944289,-81.38376767,1/22/24,1715.8284156771351,False,Cleveland Cavaliers,Milwaukee Bucks,0.6976744186046512
1116,2024-01-24,8:00p,Portland Trail Blazers,137,Houston Rockets,131,Toyota Center,/boxscores/202401240HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,35.46387036,-97.51509234,1/23/24,666.407362501828,True,Portland Trail Blazers,Portland Trail Blazers,0.47619047619047616
1012,2024-01-24,8:30p,Phoenix Suns,132,Dallas Mavericks,109,American Airlines Center,/boxscores/202401240DAL.html,American Airlines Center,Mavericks,32.79084174,-96.81031908,32.79084174,-96.81031908,1/22/24,0.0,False,Dallas Mavericks,Phoenix Suns,0.5862068965517241
2597,2024-01-24,7:00p,Charlotte Hornets,106,Detroit Pistons,113,Little Caesars Arena,/boxscores/202401240DET.html,Little Caesars Arena,Pistons,42.34136826,-83.05529949,44.97989588,-93.27615907,1/22/24,872.2298662302256,False,Charlotte Hornets,Detroit Pistons,0.09302325581395349
582,2024-01-24,7:00p,Charlotte Hornets,106,Detroit Pistons,113,Little Caesars Arena,/boxscores/202401240DET.html,Little Caesars Arena,Pistons,42.34136826,-83.05529949,42.34136826,-83.05529949,1/22/24,0.0,False,Detroit Pistons,Detroit Pistons,0.24096385542168675
315,2024-01-24,8:00p,Portland Trail Blazers,137,Houston Rockets,131,Toyota Center,/boxscores/202401240HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,29.75115882,-95.36222803,1/21/24,0.0,False,Houston Rockets,Portland Trail Blazers,0.28735632183908044
499,2024-01-24,10:00p,Atlanta Hawks,112,Golden State Warriors,134,Chase Center,/boxscores/202401240GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,38.58042676,-121.4996817,1/22/24,119.10241775515942,False,Atlanta Hawks,Golden State Warriors,0.4567901234567901
2511,2024-01-24,8:00p,Cleveland Cavaliers,116,Milwaukee Bucks,126,Fiserv Forum,/boxscores/202401240MIL.html,Fiserv Forum,Bucks,43.04526446,-87.91742912,42.34136826,-83.05529949,1/22/24,404.9425347182038,False,Milwaukee Bucks,Milwaukee Bucks,0.6265060240963856
218,2024-01-24,7:00p,Minnesota Timberwolves,118,Washington Wizards,107,Capital One Arena,/boxscores/202401240WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,44.97989588,-93.27615907,1/22/24,1501.2657967556504,False,Minnesota Timberwolves,Minnesota Timberwolves,0.16470588235294117
1474,2024-01-24,7:30p,Memphis Grizzlies,105,Miami Heat,96,Kaseya Center,/boxscores/202401240MIA.html,Kaseya Center,Heat,25.7814792,-80.18699451,28.53944289,-81.38376767,1/21/24,328.7268275258099,False,Miami Heat,Memphis Grizzlies,0.3793103448275862
664,2024-01-25,7:00p,Utah Jazz,123,Washington Wizards,108,Capital One Arena,/boxscores/202401250WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,38.89838877,-77.02081388,1/24/24,0.0,True,Washington Wizards,Utah Jazz,0.4888888888888889
927,2024-01-25,10:00p,Sacramento Kings,134,Golden State Warriors,133,Chase Center,/boxscores/202401250GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,38.58042676,-121.4996817,1/22/24,119.10241775515942,False,Sacramento Kings,Sacramento Kings,0.4634146341463415
2331,2024-01-25,7:00p,Philadelphia 76ers,122,Indiana Pacers,134,Gainbridge Fieldhouse,/boxscores/202401250IND.html,Gainbridge Fieldhouse,Pacers,39.76434114,-86.15563165,39.76434114,-86.15563165,1/23/24,0.0,False,Indiana Pacers,Indiana Pacers,0.6904761904761905
1832,2024-01-25,10:00p,Sacramento Kings,134,Golden State Warriors,133,Chase Center,/boxscores/202401250GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,37.76824305,-122.3879952,1/24/24,0.0,True,Golden State Warriors,Sacramento Kings,0.5764705882352941
2249,2024-01-25,7:00p,Utah Jazz,123,Washington Wizards,108,Capital One Arena,/boxscores/202401250WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,29.94947202,-90.08207826,1/23/24,1554.4647352478817,False,Utah Jazz,Utah Jazz,0.16091954022988506
2083,2024-01-25,10:30p,Chicago Bulls,132,Los Angeles Lakers,141,Crypto.com Arena,/boxscores/202401250LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,33.44599214,-112.0712861,1/22/24,576.6354488241543,False,Chicago Bulls,Los Angeles Lakers,0.5
1380,2024-01-25,7:30p,Denver Nuggets,84,New York Knicks,122,Madison Square Garden (IV),/boxscores/202401250NYK.html,Madison Square Garden,Knicks,40.75074427,-73.99350307,40.68282142,-73.97543706,1/23/24,7.704622594456031,False,New York Knicks,New York Knicks,0.6888888888888889
399,2024-01-25,7:30p,Boston Celtics,143,Miami Heat,110,Kaseya Center,/boxscores/202401250MIA.html,Kaseya Center,Heat,25.7814792,-80.18699451,32.79084174,-96.81031908,1/22/24,1787.703870612634,False,Boston Celtics,Boston Celtics,0.5454545454545454
1289,2024-01-25,7:00p,Philadelphia 76ers,122,Indiana Pacers,134,Gainbridge Fieldhouse,/boxscores/202401250IND.html,Gainbridge Fieldhouse,Pacers,39.76434114,-86.15563165,39.9016048,-75.17200096,1/22/24,937.4062242700644,False,Philadelphia 76ers,Indiana Pacers,0.5384615384615384
