,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link,Arena_Corrected,Teams,Game_Latitude,Game_Longitude,Prev_Game_Lat,Prev_Game_Long,Prev_Date,Travel_Distance,Back_to_Back,Team,Winner,Opponent_WinPct
1622,2023-11-12,3:30p,Memphis Grizzlies,105,Los Angeles Clippers,101,Crypto.com Arena,/boxscores/202311120LAC.html,Crypto.com Arena,Clippers,34.04327087,-118.2673077,32.79084174,-96.81031908,11/10/23,1992.6973994581128,False,Los Angeles Clippers,Memphis Grizzlies,0.1111111111111111
2131,2023-11-12,3:30p,Memphis Grizzlies,105,Los Angeles Clippers,101,Crypto.com Arena,/boxscores/202311120LAC.html,Crypto.com Arena,Clippers,34.04327087,-118.2673077,35.13827779,-90.05061859,11/10/23,2577.1584059447173,False,Memphis Grizzlies,Memphis Grizzlies,0.35294117647058826
1529,2023-11-12,7:00p,Denver Nuggets,104,Houston Rockets,107,Toyota Center,/boxscores/202311120HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,39.74888699,-105.007631,11/8/23,1416.69273650876,False,Denver Nuggets,Houston Rockets,0.625
9,2023-11-12,10:00p,Portland Trail Blazers,110,Los Angeles Lakers,116,Crypto.com Arena,/boxscores/202311120LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,33.44599214,-112.0712861,11/10/23,576.6354488241543,False,Los Angeles Lakers,Los Angeles Lakers,0.35294117647058826
281,2023-11-12,7:00p,Denver Nuggets,104,Houston Rockets,107,Toyota Center,/boxscores/202311120HOU.html,Toyota Center,Rockets,29.75115882,-95.36222803,29.75115882,-95.36222803,11/10/23,0.0,False,Houston Rockets,Houston Rockets,0.8421052631578947
1965,2023-11-13,7:30p,Washington Wizards,107,Toronto Raptors,111,Scotiabank Arena,/boxscores/202311130TOR.html,Scotiabank Arena,Raptors,43.64395522,-79.37918473,42.36641599,-71.06216746,11/11/23,690.7442696082664,False,Toronto Raptors,Toronto Raptors,0.2222222222222222
630,2023-11-13,7:30p,Washington Wizards,107,Toronto Raptors,111,Scotiabank Arena,/boxscores/202311130TOR.html,Scotiabank Arena,Raptors,43.64395522,-79.37918473,40.68282142,-73.97543706,11/12/23,553.6808669934783,True,Washington Wizards,Toronto Raptors,0.47368421052631576
893,2023-11-13,10:00p,Cleveland Cavaliers,120,Sacramento Kings,132,Golden 1 Center,/boxscores/202311130SAC.html,Golden 1 Center,Kings,38.58042676,-121.4996817,38.58042676,-121.4996817,11/10/23,0.0,False,Sacramento Kings,Sacramento Kings,0.4444444444444444
2477,2023-11-13,8:00p,Chicago Bulls,109,Milwaukee Bucks,118,Fiserv Forum,/boxscores/202311130MIL.html,Fiserv Forum,Bucks,43.04526446,-87.91742912,28.53944289,-81.38376767,11/11/23,1715.8284156771351,False,Milwaukee Bucks,Milwaukee Bucks,0.4
712,2023-11-13,10:00p,Cleveland Cavaliers,120,Sacramento Kings,132,Golden 1 Center,/boxscores/202311130SAC.html,Golden 1 Center,Kings,38.58042676,-121.4996817,37.76824305,-122.3879952,11/11/23,119.10241775515942,False,Cleveland Cavaliers,Sacramento Kings,0.5294117647058824
364,2023-11-13,7:30p,New York Knicks,98,Boston Celtics,114,TD Garden,/boxscores/202311130BOS.html,TD Garden,Celtics,42.37,-71.06216746,42.36641599,-71.06216746,11/11/23,0.3985237290433264,False,Boston Celtics,Boston Celtics,0.5555555555555556
1345,2023-11-13,7:30p,New York Knicks,98,Boston Celtics,114,TD Garden,/boxscores/202311130BOS.html,TD Garden,Celtics,42.37,-71.06216746,40.75074427,-73.99350307,11/12/23,303.124454987449,True,New York Knicks,Boston Celtics,0.7894736842105263
2048,2023-11-13,8:00p,Chicago Bulls,109,Milwaukee Bucks,118,Fiserv Forum,/boxscores/202311130MIL.html,Fiserv Forum,Bucks,43.04526446,-87.91742912,41.88085455,-87.674251,11/12/23,131.00391988410794,True,Chicago Bulls,Milwaukee Bucks,0.5789473684210527
1884,2023-11-14,7:30p,Orlando Magic,104,Brooklyn Nets,124,Barclays Center,/boxscores/202311140BRK.html,Barclays Center,Nets,40.68282142,-73.97543706,40.68282142,-73.97543706,11/12/23,0.0,False,Brooklyn Nets,Brooklyn Nets,0.5555555555555556
1802,2023-11-14,10:00p,Minnesota Timberwolves,104,Golden State Warriors,101,Chase Center,/boxscores/202311140GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,37.76824305,-122.3879952,11/12/23,0.0,False,Golden State Warriors,Minnesota Timberwolves,0.7777777777777778
2565,2023-11-14,7:00p,Miami Heat,111,Charlotte Hornets,105,Spectrum Center,/boxscores/202311140CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,40.75074427,-73.99350307,11/12/23,858.172226344398,False,Charlotte Hornets,Miami Heat,0.6
1623,2023-11-14,10:00p,Los Angeles Clippers,108,Denver Nuggets,111,Ball Arena,/boxscores/202311140DEN.html,Ball Arena,Nuggets,39.74888699,-105.007631,34.04327087,-118.2673077,11/12/23,1336.974732201424,False,Los Angeles Clippers,Denver Nuggets,0.8
465,2023-11-14,7:00p,Atlanta Hawks,126,Detroit Pistons,120,Little Caesars Arena,/boxscores/202311140DET.html,Little Caesars Arena,Pistons,42.34136826,-83.05529949,33.75786112,-84.39606134,11/11/23,961.5976662911752,False,Atlanta Hawks,Atlanta Hawks,0.18181818181818182
2296,2023-11-14,7:00p,Indiana Pacers,132,Philadelphia 76ers,126,Wells Fargo Center,/boxscores/202311140PHI.html,Wells Fargo Center,76ers,39.9016048,-75.17200096,39.9016048,-75.17200096,11/12/23,0.0,False,Indiana Pacers,Indiana Pacers,0.8888888888888888
184,2023-11-14,10:00p,Minnesota Timberwolves,104,Golden State Warriors,101,Chase Center,/boxscores/202311140GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,37.76824305,-122.3879952,11/12/23,0.0,False,Minnesota Timberwolves,Minnesota Timberwolves,0.5217391304347826
1441,2023-11-14,7:00p,Miami Heat,111,Charlotte Hornets,105,Spectrum Center,/boxscores/202311140CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,29.42731446,-98.4374652,11/12/23,1771.591718330563,False,Miami Heat,Miami Heat,0.3157894736842105
807,2023-11-14,8:00p,Dallas Mavericks,110,New Orleans Pelicans,131,Smoothie King Center,/boxscores/202311140NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,29.94947202,-90.08207826,11/12/23,0.0,False,New Orleans Pelicans,New Orleans Pelicans,0.8
1530,2023-11-14,10:00p,Los Angeles Clippers,108,Denver Nuggets,111,Ball Arena,/boxscores/202311140DEN.html,Ball Arena,Nuggets,39.74888699,-105.007631,29.75115882,-95.36222803,11/12/23,1416.69273650876,False,Denver Nuggets,Denver Nuggets,0.3157894736842105
550,2023-11-14,7:00p,Atlanta Hawks,126,Detroit Pistons,120,Little Caesars Arena,/boxscores/202311140DET.html,Little Caesars Arena,Pistons,42.34136826,-83.05529949,41.88085455,-87.674251,11/12/23,384.3910410989716,False,Detroit Pistons,Atlanta Hawks,0.5789473684210527
979,2023-11-14,8:00p,Dallas Mavericks,110,New Orleans Pelicans,131,Smoothie King Center,/boxscores/202311140NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,29.94947202,-90.08207826,11/12/23,0.0,False,Dallas Mavericks,New Orleans Pelicans,0.42857142857142855
2396,2023-11-14,7:30p,San Antonio Spurs,87,Oklahoma City Thunder,123,Paycom Center,/boxscores/202311140OKC.html,Paycom Center,Thunder,35.46387036,-97.51509234,29.42731446,-98.4374652,11/12/23,676.7803749634147,False,San Antonio Spurs,Oklahoma City Thunder,0.6
1711,2023-11-14,7:30p,Orlando Magic,104,Brooklyn Nets,124,Barclays Center,/boxscores/202311140BRK.html,Barclays Center,Nets,40.68282142,-73.97543706,28.53944289,-81.38376767,11/11/23,1509.4785595876622,False,Orlando Magic,Brooklyn Nets,0.5238095238095238
10,2023-11-14,10:30p,Memphis Grizzlies,107,Los Angeles Lakers,134,Crypto.com Arena,/boxscores/202311140LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,34.04327087,-118.2673077,11/12/23,0.0,False,Los Angeles Lakers,Los Angeles Lakers,0.2
2214,2023-11-14,9:00p,Portland Trail Blazers,99,Utah Jazz,115,Delta Center,/boxscores/202311140UTA.html,Delta Center,Jazz,40.76849155,-111.9011089,35.13827779,-90.05061859,11/10/23,2009.2271551685988,False,Utah Jazz,Utah Jazz,0.3333333333333333
1082,2023-11-14,9:00p,Portland Trail Blazers,99,Utah Jazz,115,Delta Center,/boxscores/202311140UTA.html,Delta Center,Jazz,40.76849155,-111.9011089,34.04327087,-118.2673077,11/12/23,935.0377897901748,False,Portland Trail Blazers,Utah Jazz,0.3333333333333333
1256,2023-11-14,7:00p,Indiana Pacers,132,Philadelphia 76ers,126,Wells Fargo Center,/boxscores/202311140PHI.html,Wells Fargo Center,76ers,39.9016048,-75.17200096,39.9016048,-75.17200096,11/12/23,0.0,False,Philadelphia 76ers,Indiana Pacers,0.6190476190476191
1165,2023-11-14,7:30p,San Antonio Spurs,87,Oklahoma City Thunder,123,Paycom Center,/boxscores/202311140OKC.html,Paycom Center,Thunder,35.46387036,-97.51509234,33.44599214,-112.0712861,11/12/23,1352.0584402964753,False,Oklahoma City Thunder,Oklahoma City Thunder,0.2857142857142857
2132,2023-11-14,10:30p,Memphis Grizzlies,107,Los Angeles Lakers,134,Crypto.com Arena,/boxscores/202311140LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,34.04327087,-118.2673077,11/12/23,0.0,False,Memphis Grizzlies,Los Angeles Lakers,0.5238095238095238
2478,2023-11-15,7:30p,Milwaukee Bucks,128,Toronto Raptors,112,Scotiabank Arena,/boxscores/202311150TOR.html,Scotiabank Arena,Raptors,43.64395522,-79.37918473,43.04526446,-87.91742912,11/13/23,693.3376863676938,False,Milwaukee Bucks,Milwaukee Bucks,0.5
185,2023-11-15,9:00p,Minnesota Timberwolves,115,Phoenix Suns,133,Footprint Center,/boxscores/202311150PHO.html,Footprint Center,Suns,33.44599214,-112.0712861,37.76824305,-122.3879952,11/14/23,1048.3468746249084,True,Minnesota Timberwolves,Phoenix Suns,0.4
980,2023-11-15,7:00p,Dallas Mavericks,130,Washington Wizards,117,Capital One Arena,/boxscores/202311150WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,29.94947202,-90.08207826,11/14/23,1554.4647352478817,True,Dallas Mavericks,Dallas Mavericks,0.2
1257,2023-11-15,7:30p,Boston Celtics,117,Philadelphia 76ers,107,Wells Fargo Center,/boxscores/202311150PHI.html,Wells Fargo Center,76ers,39.9016048,-75.17200096,39.9016048,-75.17200096,11/14/23,0.0,True,Philadelphia 76ers,Boston Celtics,0.8
1966,2023-11-15,7:30p,Milwaukee Bucks,128,Toronto Raptors,112,Scotiabank Arena,/boxscores/202311150TOR.html,Scotiabank Arena,Raptors,43.64395522,-79.37918473,43.64395522,-79.37918473,11/13/23,0.0,False,Toronto Raptors,Milwaukee Bucks,0.6190476190476191
365,2023-11-15,7:30p,Boston Celtics,117,Philadelphia 76ers,107,Wells Fargo Center,/boxscores/202311150PHI.html,Wells Fargo Center,76ers,39.9016048,-75.17200096,42.36641599,-71.06216746,11/13/23,439.8916162580893,False,Boston Celtics,Boston Celtics,0.7619047619047619
466,2023-11-15,7:30p,New York Knicks,116,Atlanta Hawks,114,State Farm Arena,/boxscores/202311150ATL.html,State Farm Arena,Hawks,33.75786112,-84.39606134,42.34136826,-83.05529949,11/14/23,961.5976662911752,True,Atlanta Hawks,New York Knicks,0.5
631,2023-11-15,7:00p,Dallas Mavericks,130,Washington Wizards,117,Capital One Arena,/boxscores/202311150WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,43.64395522,-79.37918473,11/13/23,563.2236007329624,False,Washington Wizards,Dallas Mavericks,0.7391304347826086
713,2023-11-15,10:00p,Cleveland Cavaliers,109,Portland Trail Blazers,95,Moda Center,/boxscores/202311150POR.html,Moda Center,Trailblazers,45.53187324,-122.6668208,38.58042676,-121.4996817,11/13/23,778.9234143044382,False,Cleveland Cavaliers,Cleveland Cavaliers,0.3
1712,2023-11-15,8:00p,Orlando Magic,96,Chicago Bulls,94,United Center,/boxscores/202311150CHI.html,United Center,Bulls,41.88085455,-87.674251,40.68282142,-73.97543706,11/14/23,1151.147836358715,True,Orlando Magic,Orlando Magic,0.36363636363636365
2049,2023-11-15,8:00p,Orlando Magic,96,Chicago Bulls,94,United Center,/boxscores/202311150CHI.html,United Center,Bulls,41.88085455,-87.674251,43.04526446,-87.91742912,11/13/23,131.00391988410794,False,Chicago Bulls,Orlando Magic,0.5238095238095238
11,2023-11-15,10:00p,Sacramento Kings,125,Los Angeles Lakers,110,Crypto.com Arena,/boxscores/202311150LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,34.04327087,-118.2673077,11/14/23,0.0,True,Los Angeles Lakers,Sacramento Kings,0.5555555555555556
1083,2023-11-15,10:00p,Cleveland Cavaliers,109,Portland Trail Blazers,95,Moda Center,/boxscores/202311150POR.html,Moda Center,Trailblazers,45.53187324,-122.6668208,40.76849155,-111.9011089,11/14/23,1020.1195569432706,True,Portland Trail Blazers,Cleveland Cavaliers,0.42857142857142855
1346,2023-11-15,7:30p,New York Knicks,116,Atlanta Hawks,114,State Farm Arena,/boxscores/202311150ATL.html,State Farm Arena,Hawks,33.75786112,-84.39606134,42.36641599,-71.06216746,11/13/23,1506.4477599257298,False,New York Knicks,New York Knicks,0.5714285714285714
99,2023-11-15,9:00p,Minnesota Timberwolves,115,Phoenix Suns,133,Footprint Center,/boxscores/202311150PHO.html,Footprint Center,Suns,33.44599214,-112.0712861,33.44599214,-112.0712861,11/12/23,0.0,False,Phoenix Suns,Phoenix Suns,0.7619047619047619
894,2023-11-15,10:00p,Sacramento Kings,125,Los Angeles Lakers,110,Crypto.com Arena,/boxscores/202311150LAL.html,Crypto.com Arena,Lakers,34.04327087,-118.2673077,38.58042676,-121.4996817,11/13/23,581.6264657800731,False,Sacramento Kings,Sacramento Kings,0.5217391304347826
1166,2023-11-16,10:00p,Oklahoma City Thunder,128,Golden State Warriors,109,Chase Center,/boxscores/202311160GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,35.46387036,-97.51509234,11/14/23,2228.034594075889,False,Oklahoma City Thunder,Oklahoma City Thunder,0.5
1885,2023-11-16,7:30p,Brooklyn Nets,115,Miami Heat,122,Kaseya Center,/boxscores/202311160MIA.html,Kaseya Center,Heat,25.7814792,-80.18699451,40.68282142,-73.97543706,11/14/23,1753.5263599325783,False,Brooklyn Nets,Miami Heat,0.6363636363636364
1442,2023-11-16,7:30p,Brooklyn Nets,115,Miami Heat,122,Kaseya Center,/boxscores/202311160MIA.html,Kaseya Center,Heat,25.7814792,-80.18699451,35.22545375,-80.83938972,11/14/23,1051.9718944021324,False,Miami Heat,Miami Heat,0.5217391304347826
1803,2023-11-16,10:00p,Oklahoma City Thunder,128,Golden State Warriors,109,Chase Center,/boxscores/202311160GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,37.76824305,-122.3879952,11/14/23,0.0,False,Golden State Warriors,Oklahoma City Thunder,0.6521739130434783
366,2023-11-17,7:30p,Boston Celtics,108,Toronto Raptors,105,Scotiabank Arena,/boxscores/202311170TOR.html,Scotiabank Arena,Raptors,43.64395522,-79.37918473,39.9016048,-75.17200096,11/15/23,542.8820293478109,False,Boston Celtics,Boston Celtics,0.45454545454545453
2050,2023-11-17,8:00p,Orlando Magic,103,Chicago Bulls,97,United Center,/boxscores/202311170CHI.html,United Center,Bulls,41.88085455,-87.674251,41.88085455,-87.674251,11/15/23,0.0,False,Chicago Bulls,Orlando Magic,0.5454545454545454
467,2023-11-17,7:30p,Philadelphia 76ers,126,Atlanta Hawks,116,State Farm Arena,/boxscores/202311170ATL.html,State Farm Arena,Hawks,33.75786112,-84.39606134,33.75786112,-84.39606134,11/15/23,0.0,False,Atlanta Hawks,Philadelphia 76ers,0.7272727272727273
12,2023-11-17,10:00p,Los Angeles Lakers,107,Portland Trail Blazers,95,Moda Center,/boxscores/202311170POR.html,Moda Center,Trailblazers,45.53187324,-122.6668208,34.04327087,-118.2673077,11/15/23,1331.0754816867934,False,Los Angeles Lakers,Los Angeles Lakers,0.2727272727272727
282,2023-11-17,10:30p,Houston Rockets,100,Los Angeles Clippers,106,Crypto.com Arena,/boxscores/202311170LAC.html,Crypto.com Arena,Clippers,34.04327087,-118.2673077,29.75115882,-95.36222803,11/12/23,2209.337505529276,False,Houston Rockets,Los Angeles Clippers,0.3
1967,2023-11-17,7:30p,Boston Celtics,108,Toronto Raptors,105,Scotiabank Arena,/boxscores/202311170TOR.html,Scotiabank Arena,Raptors,43.64395522,-79.37918473,43.64395522,-79.37918473,11/15/23,0.0,False,Toronto Raptors,Boston Celtics,0.8260869565217391
632,2023-11-17,7:00p,New York Knicks,120,Washington Wizards,99,Capital One Arena,/boxscores/202311170WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,38.89838877,-77.02081388,11/15/23,0.0,False,Washington Wizards,New York Knicks,0.5454545454545454
2479,2023-11-17,7:00p,Milwaukee Bucks,130,Charlotte Hornets,99,Spectrum Center,/boxscores/202311170CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,43.64395522,-79.37918473,11/15/23,944.4116030275796,False,Milwaukee Bucks,Milwaukee Bucks,0.3
714,2023-11-17,7:30p,Detroit Pistons,100,Cleveland Cavaliers,108,Rocket Mortgage Fieldhouse,/boxscores/202311170CLE.html,Rocket Mortgage FieldHouse,Cavs,41.4969733,-81.68818615,45.53187324,-122.6668208,11/15/23,3298.3736895216925,False,Cleveland Cavaliers,Cleveland Cavaliers,0.16666666666666666
808,2023-11-17,8:00p,Denver Nuggets,110,New Orleans Pelicans,115,Smoothie King Center,/boxscores/202311170NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,29.94947202,-90.08207826,11/14/23,0.0,False,New Orleans Pelicans,New Orleans Pelicans,0.8181818181818182
1347,2023-11-17,7:00p,New York Knicks,120,Washington Wizards,99,Capital One Arena,/boxscores/202311170WAS.html,Capital One Arena,Wizards,38.89838877,-77.02081388,33.75786112,-84.39606134,11/15/23,873.0782805968427,False,New York Knicks,New York Knicks,0.17391304347826086
895,2023-11-17,7:30p,Sacramento Kings,129,San Antonio Spurs,120,Frost Bank Center,/boxscores/202311170SAS.html,Frost Bank Center,Spurs,29.42731446,-98.4374652,34.04327087,-118.2673077,11/15/23,1940.7057294326985,False,Sacramento Kings,Sacramento Kings,0.2727272727272727
2397,2023-11-17,7:30p,Sacramento Kings,129,San Antonio Spurs,120,Frost Bank Center,/boxscores/202311170SAS.html,Frost Bank Center,Spurs,29.42731446,-98.4374652,35.46387036,-97.51509234,11/14/23,676.7803749634147,False,San Antonio Spurs,Sacramento Kings,0.6190476190476191
100,2023-11-17,10:00p,Phoenix Suns,131,Utah Jazz,128,Delta Center,/boxscores/202311170UTA.html,Delta Center,Jazz,40.76849155,-111.9011089,33.44599214,-112.0712861,11/15/23,814.3641069567977,False,Phoenix Suns,Phoenix Suns,0.36363636363636365
1084,2023-11-17,10:00p,Los Angeles Lakers,107,Portland Trail Blazers,95,Moda Center,/boxscores/202311170POR.html,Moda Center,Trailblazers,45.53187324,-122.6668208,45.53187324,-122.6668208,11/15/23,0.0,False,Portland Trail Blazers,Los Angeles Lakers,0.52
1713,2023-11-17,8:00p,Orlando Magic,103,Chicago Bulls,97,United Center,/boxscores/202311170CHI.html,United Center,Bulls,41.88085455,-87.674251,41.88085455,-87.674251,11/15/23,0.0,False,Orlando Magic,Orlando Magic,0.32
2215,2023-11-17,10:00p,Phoenix Suns,131,Utah Jazz,128,Delta Center,/boxscores/202311170UTA.html,Delta Center,Jazz,40.76849155,-111.9011089,40.76849155,-111.9011089,11/14/23,0.0,False,Utah Jazz,Phoenix Suns,0.4782608695652174
1258,2023-11-17,7:30p,Philadelphia 76ers,126,Atlanta Hawks,116,State Farm Arena,/boxscores/202311170ATL.html,State Farm Arena,Hawks,33.75786112,-84.39606134,39.9016048,-75.17200096,11/15/23,1066.9704777200186,False,Philadelphia 76ers,Philadelphia 76ers,0.5217391304347826
551,2023-11-17,7:30p,Detroit Pistons,100,Cleveland Cavaliers,108,Rocket Mortgage Fieldhouse,/boxscores/202311170CLE.html,Rocket Mortgage FieldHouse,Cavs,41.4969733,-81.68818615,42.34136826,-83.05529949,11/14/23,147.00120576407616,False,Detroit Pistons,Cleveland Cavaliers,0.4782608695652174
1531,2023-11-17,8:00p,Denver Nuggets,110,New Orleans Pelicans,115,Smoothie King Center,/boxscores/202311170NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,39.74888699,-105.007631,11/14/23,1740.0620612478892,False,Denver Nuggets,New Orleans Pelicans,0.4782608695652174
1624,2023-11-17,10:30p,Houston Rockets,100,Los Angeles Clippers,106,Crypto.com Arena,/boxscores/202311170LAC.html,Crypto.com Arena,Clippers,34.04327087,-118.2673077,39.74888699,-105.007631,11/14/23,1336.974732201424,False,Los Angeles Clippers,Los Angeles Clippers,0.631578947368421
2566,2023-11-17,7:00p,Milwaukee Bucks,130,Charlotte Hornets,99,Spectrum Center,/boxscores/202311170CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,35.22545375,-80.83938972,11/14/23,0.0,False,Charlotte Hornets,Milwaukee Bucks,0.6521739130434783
186,2023-11-18,7:00p,Minnesota Timberwolves,121,New Orleans Pelicans,120,Smoothie King Center,/boxscores/202311180NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,33.44599214,-112.0712861,11/15/23,2112.194577522353,False,Minnesota Timberwolves,Minnesota Timberwolves,0.5
1348,2023-11-18,6:00p,New York Knicks,122,Charlotte Hornets,108,Spectrum Center,/boxscores/202311180CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,38.89838877,-77.02081388,11/17/23,530.5500615817883,True,New York Knicks,New York Knicks,0.2727272727272727
1443,2023-11-18,8:00p,Miami Heat,97,Chicago Bulls,102,United Center,/boxscores/202311180CHI.html,United Center,Bulls,41.88085455,-87.674251,25.7814792,-80.18699451,11/16/23,1917.1214666399185,False,Miami Heat,Chicago Bulls,0.3076923076923077
1804,2023-11-18,8:30p,Oklahoma City Thunder,130,Golden State Warriors,123,Chase Center,/boxscores/202311180GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,37.76824305,-122.3879952,11/16/23,0.0,False,Golden State Warriors,Oklahoma City Thunder,0.6666666666666666
809,2023-11-18,7:00p,Minnesota Timberwolves,121,New Orleans Pelicans,120,Smoothie King Center,/boxscores/202311180NOP.html,Smoothie King Center,Pelicans,29.94947202,-90.08207826,29.94947202,-90.08207826,11/17/23,0.0,True,New Orleans Pelicans,Minnesota Timberwolves,0.7391304347826086
1167,2023-11-18,8:30p,Oklahoma City Thunder,130,Golden State Warriors,123,Chase Center,/boxscores/202311180GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,37.76824305,-122.3879952,11/16/23,0.0,False,Oklahoma City Thunder,Oklahoma City Thunder,0.4444444444444444
981,2023-11-18,8:00p,Dallas Mavericks,125,Milwaukee Bucks,132,Fiserv Forum,/boxscores/202311180MIL.html,Fiserv Forum,Bucks,43.04526446,-87.91742912,38.89838877,-77.02081388,11/15/23,1023.3598786597448,False,Dallas Mavericks,Milwaukee Bucks,0.6666666666666666
2398,2023-11-18,8:00p,Memphis Grizzlies,120,San Antonio Spurs,108,Frost Bank Center,/boxscores/202311180SAS.html,Frost Bank Center,Spurs,29.42731446,-98.4374652,29.42731446,-98.4374652,11/17/23,0.0,True,San Antonio Spurs,Memphis Grizzlies,0.18181818181818182
2051,2023-11-18,8:00p,Miami Heat,97,Chicago Bulls,102,United Center,/boxscores/202311180CHI.html,United Center,Bulls,41.88085455,-87.674251,41.88085455,-87.674251,11/17/23,0.0,True,Chicago Bulls,Chicago Bulls,0.64
2133,2023-11-18,8:00p,Memphis Grizzlies,120,San Antonio Spurs,108,Frost Bank Center,/boxscores/202311180SAS.html,Frost Bank Center,Spurs,29.42731446,-98.4374652,34.04327087,-118.2673077,11/14/23,1940.7057294326985,False,Memphis Grizzlies,Memphis Grizzlies,0.24
2567,2023-11-18,6:00p,New York Knicks,122,Charlotte Hornets,108,Spectrum Center,/boxscores/202311180CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,35.22545375,-80.83938972,11/17/23,0.0,True,Charlotte Hornets,New York Knicks,0.6
