Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link
"Fri, Dec 22, 2023",8:00p,Atlanta Hawks,113,Miami Heat,122,Kaseya Center,/boxscores/202312220MIA.html
"Fri, Dec 22, 2023",10:00p,Washington Wizards,118,Golden State Warriors,129,Chase Center,/boxscores/202312220GSW.html
"Fri, Dec 22, 2023",10:00p,Phoenix Suns,105,Sacramento Kings,120,Golden 1 Center,/boxscores/202312220SAC.html
"Sat, Dec 23, 2023",12:30p,Milwaukee Bucks,130,New York Knicks,111,Madison Square Garden (IV),/boxscores/202312230NYK.html
"Sat, Dec 23, 2023",3:30p,Boston Celtics,145,Los Angeles Clippers,108,Crypto.com Arena,/boxscores/202312230LAC.html
"Sat, Dec 23, 2023",7:00p,Denver Nuggets,102,Charlotte Hornets,95,Spectrum Center,/boxscores/202312230CHO.html
"Sat, Dec 23, 2023",7:00p,Orlando Magic,117,Indiana Pacers,110,Gainbridge Fieldhouse,/boxscores/202312230IND.html
"Sat, Dec 23, 2023",7:00p,Houston Rockets,106,New Orleans Pelicans,104,Smoothie King Center,/boxscores/202312230NOP.html
"Sat, Dec 23, 2023",7:30p,Memphis Grizzlies,125,Atlanta Hawks,119,State Farm Arena,/boxscores/202312230ATL.html
"Sat, Dec 23, 2023",7:30p,Detroit Pistons,115,Brooklyn Nets,126,Barclays Center,/boxscores/202312230BRK.html
"Sat, Dec 23, 2023",7:30p,Utah Jazz,126,Toronto Raptors,119,Scotiabank Arena,/boxscores/202312230TOR.html
"Sat, Dec 23, 2023",8:00p,Cleveland Cavaliers,109,Chicago Bulls,95,United Center,/boxscores/202312230CHI.html
"Sat, Dec 23, 2023",8:00p,Los Angeles Lakers,129,Oklahoma City Thunder,120,Paycom Center,/boxscores/202312230OKC.html
"Sat, Dec 23, 2023",8:30p,San Antonio Spurs,119,Dallas Mavericks,144,American Airlines Center,/boxscores/202312230DAL.html
"Sat, Dec 23, 2023",8:30p,Portland Trail Blazers,106,Golden State Warriors,126,Chase Center,/boxscores/202312230GSW.html
"Sat, Dec 23, 2023",10:00p,Minnesota Timberwolves,110,Sacramento Kings,98,Golden 1 Center,/boxscores/202312230SAC.html
"Mon, Dec 25, 2023",12:00p,Milwaukee Bucks,122,New York Knicks,129,Madison Square Garden (IV),/boxscores/202312250NYK.html
"Mon, Dec 25, 2023",2:30p,Golden State Warriors,114,Denver Nuggets,120,Ball Arena,/boxscores/202312250DEN.html
"Mon, Dec 25, 2023",5:00p,Boston Celtics,126,Los Angeles Lakers,115,Crypto.com Arena,/boxscores/202312250LAL.html
"Mon, Dec 25, 2023",8:00p,Philadelphia 76ers,113,Miami Heat,119,Kaseya Center,/boxscores/202312250MIA.html
"Mon, Dec 25, 2023",10:30p,Dallas Mavericks,128,Phoenix Suns,114,Footprint Center,/boxscores/202312250PHO.html
"Tue, Dec 26, 2023",7:00p,Brooklyn Nets,118,Detroit Pistons,112,Little Caesars Arena,/boxscores/202312260DET.html
"Tue, Dec 26, 2023",7:00p,Orlando Magic,127,Washington Wizards,119,Capital One Arena,/boxscores/202312260WAS.html
"Tue, Dec 26, 2023",8:00p,Atlanta Hawks,113,Chicago Bulls,118,United Center,/boxscores/202312260CHI.html
"Tue, Dec 26, 2023",8:00p,Indiana Pacers,123,Houston Rockets,117,Toyota Center,/boxscores/202312260HOU.html
"Tue, Dec 26, 2023",8:00p,Memphis Grizzlies,116,New Orleans Pelicans,115,Smoothie King Center,/boxscores/202312260NOP.html
"Tue, Dec 26, 2023",8:00p,Minnesota Timberwolves,106,Oklahoma City Thunder,129,Paycom Center,/boxscores/202312260OKC.html
"Tue, Dec 26, 2023",8:00p,Utah Jazz,130,San Antonio Spurs,118,Frost Bank Center,/boxscores/202312260SAS.html
"Tue, Dec 26, 2023",10:00p,Sacramento Kings,113,Portland Trail Blazers,130,Moda Center,/boxscores/202312260POR.html
"Tue, Dec 26, 2023",10:30p,Charlotte Hornets,104,Los Angeles Clippers,113,Crypto.com Arena,/boxscores/202312260LAC.html
"Wed, Dec 27, 2023",7:00p,Philadelphia 76ers,112,Orlando Magic,92,Kia Center,/boxscores/202312270ORL.html
"Wed, Dec 27, 2023",7:00p,Toronto Raptors,132,Washington Wizards,102,Capital One Arena,/boxscores/202312270WAS.html
"Wed, Dec 27, 2023",7:30p,Milwaukee Bucks,144,Brooklyn Nets,122,Barclays Center,/boxscores/202312270BRK.html
"Wed, Dec 27, 2023",8:00p,Phoenix Suns,129,Houston Rockets,113,Toyota Center,/boxscores/202312270HOU.html
"Wed, Dec 27, 2023",8:00p,New York Knicks,120,Oklahoma City Thunder,129,Paycom Center,/boxscores/202312270OKC.html
"Wed, Dec 27, 2023",8:30p,Cleveland Cavaliers,113,Dallas Mavericks,110,American Airlines Center,/boxscores/202312270DAL.html
"Thu, Dec 28, 2023",7:30p,Detroit Pistons,122,Boston Celtics,128,TD Garden,/boxscores/202312280BOS.html
"Thu, Dec 28, 2023",8:00p,Indiana Pacers,120,Chicago Bulls,104,United Center,/boxscores/202312280CHI.html
"Thu, Dec 28, 2023",8:00p,Dallas Mavericks,110,Minnesota Timberwolves,118,Target Center,/boxscores/202312280MIN.html
"Thu, Dec 28, 2023",8:00p,Utah Jazz,105,New Orleans Pelicans,112,Smoothie King Center,/boxscores/202312280NOP.html
"Thu, Dec 28, 2023",9:00p,Memphis Grizzlies,105,Denver Nuggets,142,Ball Arena,/boxscores/202312280DEN.html
"Thu, Dec 28, 2023",10:00p,Miami Heat,114,Golden State Warriors,102,Chase Center,/boxscores/202312280GSW.html
"Thu, Dec 28, 2023",10:00p,San Antonio Spurs,118,Portland Trail Blazers,105,Moda Center,/boxscores/202312280POR.html
"Thu, Dec 28, 2023",10:30p,Charlotte Hornets,112,Los Angeles Lakers,133,Crypto.com Arena,/boxscores/202312280LAL.html
"Fri, Dec 29, 2023",7:00p,New York Knicks,108,Orlando Magic,117,Kia Center,/boxscores/202312290ORL.html
"Fri, Dec 29, 2023",7:00p,Brooklyn Nets,104,Washington Wizards,110,Capital One Arena,/boxscores/202312290WAS.html
"Fri, Dec 29, 2023",7:30p,Sacramento Kings,117,Atlanta Hawks,110,State Farm Arena,/boxscores/202312290ATL.html
"Fri, Dec 29, 2023",7:30p,Toronto Raptors,118,Boston Celtics,120,TD Garden,/boxscores/202312290BOS.html
"Fri, Dec 29, 2023",7:30p,Milwaukee Bucks,119,Cleveland Cavaliers,111,Rocket Mortgage Fieldhouse,/boxscores/202312290CLE.html
"Fri, Dec 29, 2023",8:00p,Philadelphia 76ers,131,Houston Rockets,127,Toyota Center,/boxscores/202312290HOU.html
"Fri, Dec 29, 2023",9:00p,Oklahoma City Thunder,119,Denver Nuggets,93,Ball Arena,/boxscores/202312290DEN.html
"Fri, Dec 29, 2023",9:00p,Charlotte Hornets,119,Phoenix Suns,133,Footprint Center,/boxscores/202312290PHO.html
"Fri, Dec 29, 2023",10:00p,San Antonio Spurs,128,Portland Trail Blazers,134,Moda Center,/boxscores/202312290POR.html
"Fri, Dec 29, 2023",10:30p,Memphis Grizzlies,106,Los Angeles Clippers,117,Crypto.com Arena,/boxscores/202312290LAC.html
"Sat, Dec 30, 2023",5:00p,Miami Heat,109,Utah Jazz,117,Delta Center,/boxscores/202312300UTA.html
"Sat, Dec 30, 2023",6:00p,Toronto Raptors,127,Detroit Pistons,129,Little Caesars Arena,/boxscores/202312300DET.html
"Sat, Dec 30, 2023",7:00p,New York Knicks,126,Indiana Pacers,140,Gainbridge Fieldhouse,/boxscores/202312300IND.html
"Sat, Dec 30, 2023",8:00p,Philadelphia 76ers,92,Chicago Bulls,105,United Center,/boxscores/202312300CHI.html
"Sat, Dec 30, 2023",8:00p,Los Angeles Lakers,106,Minnesota Timberwolves,108,Target Center,/boxscores/202312300MIN.html
"Sat, Dec 30, 2023",8:30p,Dallas Mavericks,132,Golden State Warriors,122,Chase Center,/boxscores/202312300GSW.html
"Sun, Dec 31, 2023",3:00p,Atlanta Hawks,130,Washington Wizards,126,Capital One Arena,/boxscores/202312310WAS.html
"Sun, Dec 31, 2023",7:00p,Los Angeles Lakers,109,New Orleans Pelicans,129,Smoothie King Center,/boxscores/202312310NOP.html
"Sun, Dec 31, 2023",7:00p,Brooklyn Nets,108,Oklahoma City Thunder,124,Paycom Center,/boxscores/202312310OKC.html
"Sun, Dec 31, 2023",7:00p,Boston Celtics,134,San Antonio Spurs,101,Frost Bank Center,/boxscores/202312310SAS.html
"Sun, Dec 31, 2023",8:00p,Sacramento Kings,123,Memphis Grizzlies,92,FedEx Forum,/boxscores/202312310MEM.html
"Sun, Dec 31, 2023",8:00p,Orlando Magic,107,Phoenix Suns,112,Footprint Center,/boxscores/202312310PHO.html
"Mon, Jan 1, 2024",3:00p,Minnesota Timberwolves,106,New York Knicks,112,Madison Square Garden (IV),/boxscores/202401010NYK.html
"Mon, Jan 1, 2024",7:30p,Cleveland Cavaliers,121,Toronto Raptors,124,Scotiabank Arena,/boxscores/202401010TOR.html
"Mon, Jan 1, 2024",8:00p,Detroit Pistons,113,Houston Rockets,136,Toyota Center,/boxscores/202401010HOU.html
"Mon, Jan 1, 2024",8:00p,Indiana Pacers,122,Milwaukee Bucks,113,Fiserv Forum,/boxscores/202401010MIL.html
"Mon, Jan 1, 2024",9:00p,Charlotte Hornets,93,Denver Nuggets,111,Ball Arena,/boxscores/202401010DEN.html
"Mon, Jan 1, 2024",9:00p,Portland Trail Blazers,88,Phoenix Suns,109,Footprint Center,/boxscores/202401010PHO.html
"Mon, Jan 1, 2024",9:00p,Dallas Mavericks,90,Utah Jazz,127,Delta Center,/boxscores/202401010UTA.html
"Mon, Jan 1, 2024",10:30p,Miami Heat,104,Los Angeles Clippers,121,Crypto.com Arena,/boxscores/202401010LAC.html
"Tue, Jan 2, 2024",7:00p,Chicago Bulls,97,Philadelphia 76ers,110,Wells Fargo Center,/boxscores/202401020PHI.html
"Tue, Jan 2, 2024",8:00p,San Antonio Spurs,98,Memphis Grizzlies,106,FedEx Forum,/boxscores/202401020MEM.html
"Tue, Jan 2, 2024",8:00p,Brooklyn Nets,85,New Orleans Pelicans,112,Smoothie King Center,/boxscores/202401020NOP.html
"Tue, Jan 2, 2024",8:00p,Boston Celtics,123,Oklahoma City Thunder,127,Paycom Center,/boxscores/202401020OKC.html
"Tue, Jan 2, 2024",10:00p,Orlando Magic,115,Golden State Warriors,121,Chase Center,/boxscores/202401020GSW.html
"Tue, Jan 2, 2024",10:00p,Charlotte Hornets,111,Sacramento Kings,104,Golden 1 Center,/boxscores/202401020SAC.html
"Wed, Jan 3, 2024",7:00p,Washington Wizards,101,Cleveland Cavaliers,140,Rocket Mortgage Fieldhouse,/boxscores/202401030CLE.html
"Wed, Jan 3, 2024",7:00p,Milwaukee Bucks,130,Indiana Pacers,142,Gainbridge Fieldhouse,/boxscores/202401030IND.html
"Wed, Jan 3, 2024",7:30p,Oklahoma City Thunder,138,Atlanta Hawks,141,State Farm Arena,/boxscores/202401030ATL.html
"Wed, Jan 3, 2024",8:00p,Brooklyn Nets,101,Houston Rockets,112,Toyota Center,/boxscores/202401030HOU.html
"Wed, Jan 3, 2024",8:00p,Toronto Raptors,116,Memphis Grizzlies,111,FedEx Forum,/boxscores/202401030MEM.html
"Wed, Jan 3, 2024",8:00p,New Orleans Pelicans,117,Minnesota Timberwolves,106,Target Center,/boxscores/202401030MIN.html
"Wed, Jan 3, 2024",8:30p,Portland Trail Blazers,97,Dallas Mavericks,126,American Airlines Center,/boxscores/202401030DAL.html
"Wed, Jan 3, 2024",8:30p,Chicago Bulls,100,New York Knicks,116,Madison Square Garden (IV),/boxscores/202401030NYK.html
"Wed, Jan 3, 2024",9:00p,Los Angeles Clippers,131,Phoenix Suns,122,Footprint Center,/boxscores/202401030PHO.html
"Wed, Jan 3, 2024",9:00p,Detroit Pistons,148,Utah Jazz,154,Delta Center,/boxscores/202401030UTA.html
"Wed, Jan 3, 2024",10:00p,Miami Heat,110,Los Angeles Lakers,96,Crypto.com Arena,/boxscores/202401030LAL.html
"Wed, Jan 3, 2024",10:00p,Orlando Magic,135,Sacramento Kings,138,Golden 1 Center,/boxscores/202401030SAC.html
"Thu, Jan 4, 2024",7:30p,Milwaukee Bucks,125,San Antonio Spurs,121,Frost Bank Center,/boxscores/202401040SAS.html
"Thu, Jan 4, 2024",10:00p,Denver Nuggets,130,Golden State Warriors,127,Chase Center,/boxscores/202401040GSW.html
"Fri, Jan 5, 2024",7:00p,Utah Jazz,97,Boston Celtics,126,TD Garden,/boxscores/202401050BOS.html
"Fri, Jan 5, 2024",7:00p,Atlanta Hawks,116,Indiana Pacers,150,Gainbridge Fieldhouse,/boxscores/202401050IND.html
"Fri, Jan 5, 2024",7:30p,Oklahoma City Thunder,115,Brooklyn Nets,124,Barclays Center,/boxscores/202401050BRK.html
"Fri, Jan 5, 2024",7:30p,Washington Wizards,90,Cleveland Cavaliers,114,Rocket Mortgage Fieldhouse,/boxscores/202401050CLE.html
"Fri, Jan 5, 2024",7:30p,New York Knicks,128,Philadelphia 76ers,92,Wells Fargo Center,/boxscores/202401050PHI.html
"Fri, Jan 5, 2024",8:00p,Charlotte Hornets,91,Chicago Bulls,104,United Center,/boxscores/202401050CHI.html
"Fri, Jan 5, 2024",8:00p,Minnesota Timberwolves,122,Houston Rockets,95,Toyota Center,/boxscores/202401050HOU.html
"Fri, Jan 5, 2024",8:00p,Los Angeles Clippers,111,New Orleans Pelicans,95,Smoothie King Center,/boxscores/202401050NOP.html
"Fri, Jan 5, 2024",8:30p,Portland Trail Blazers,103,Dallas Mavericks,139,American Airlines Center,/boxscores/202401050DAL.html
"Fri, Jan 5, 2024",9:00p,Orlando Magic,122,Denver Nuggets,120,Ball Arena,/boxscores/202401050DEN.html
"Fri, Jan 5, 2024",9:00p,Miami Heat,97,Phoenix Suns,113,Footprint Center,/boxscores/202401050PHO.html
"Fri, Jan 5, 2024",10:00p,Detroit Pistons,109,Golden State Warriors,113,Chase Center,/boxscores/202401050GSW.html
"Fri, Jan 5, 2024",10:00p,Memphis Grizzlies,127,Los Angeles Lakers,113,Crypto.com Arena,/boxscores/202401050LAL.html
"Fri, Jan 5, 2024",10:00p,Toronto Raptors,130,Sacramento Kings,135,Golden 1 Center,/boxscores/202401050SAC.html
"Sat, Jan 6, 2024",7:00p,Boston Celtics,118,Indiana Pacers,101,Gainbridge Fieldhouse,/boxscores/202401060IND.html
"Sat, Jan 6, 2024",7:00p,New York Knicks,121,Washington Wizards,105,Capital One Arena,/boxscores/202401060WAS.html
"Sat, Jan 6, 2024",7:30p,Utah Jazz,120,Philadelphia 76ers,109,Wells Fargo Center,/boxscores/202401060PHI.html
"Sat, Jan 6, 2024",8:00p,Milwaukee Bucks,108,Houston Rockets,112,Toyota Center,/boxscores/202401060HOU.html
"Sun, Jan 7, 2024",1:00p,San Antonio Spurs,115,Cleveland Cavaliers,117,Rocket Mortgage Fieldhouse,/boxscores/202401070CLE.html
"Sun, Jan 7, 2024",3:00p,Portland Trail Blazers,134,Brooklyn Nets,127,Barclays Center,/boxscores/202401070BRK.html
"Sun, Jan 7, 2024",6:00p,Atlanta Hawks,110,Orlando Magic,117,Kia Center,/boxscores/202401070ORL.html
"Sun, Jan 7, 2024",6:00p,New Orleans Pelicans,133,Sacramento Kings,100,Golden 1 Center,/boxscores/202401070SAC.html
"Sun, Jan 7, 2024",7:30p,Minnesota Timberwolves,108,Dallas Mavericks,115,American Airlines Center,/boxscores/202401070DAL.html
"Sun, Jan 7, 2024",8:00p,Detroit Pistons,114,Denver Nuggets,131,Ball Arena,/boxscores/202401070DEN.html
"Sun, Jan 7, 2024",8:00p,Memphis Grizzlies,121,Phoenix Suns,115,Footprint Center,/boxscores/202401070PHO.html
"Sun, Jan 7, 2024",8:30p,Toronto Raptors,133,Golden State Warriors,118,Chase Center,/boxscores/202401070GSW.html
"Sun, Jan 7, 2024",9:30p,Los Angeles Clippers,103,Los Angeles Lakers,106,Crypto.com Arena,/boxscores/202401070LAL.html
"Mon, Jan 8, 2024",7:00p,Chicago Bulls,119,Charlotte Hornets,112,Spectrum Center,/boxscores/202401080CHO.html
"Mon, Jan 8, 2024",7:00p,Boston Celtics,131,Indiana Pacers,133,Gainbridge Fieldhouse,/boxscores/202401080IND.html
"Mon, Jan 8, 2024",7:00p,Oklahoma City Thunder,136,Washington Wizards,128,Capital One Arena,/boxscores/202401080WAS.html
"Mon, Jan 8, 2024",7:30p,Houston Rockets,113,Miami Heat,120,Kaseya Center,/boxscores/202401080MIA.html
"Mon, Jan 8, 2024",8:00p,Utah Jazz,132,Milwaukee Bucks,116,Fiserv Forum,/boxscores/202401080MIL.html
"Mon, Jan 8, 2024",10:30p,Phoenix Suns,111,Los Angeles Clippers,138,Crypto.com Arena,/boxscores/202401080LAC.html
"Tue, Jan 9, 2024",7:00p,Sacramento Kings,131,Detroit Pistons,110,Little Caesars Arena,/boxscores/202401090DET.html
"Tue, Jan 9, 2024",7:00p,Minnesota Timberwolves,113,Orlando Magic,92,Kia Center,/boxscores/202401090ORL.html
"Tue, Jan 9, 2024",7:30p,Portland Trail Blazers,84,New York Knicks,112,Madison Square Garden (IV),/boxscores/202401090NYK.html
"Tue, Jan 9, 2024",8:30p,Memphis Grizzlies,120,Dallas Mavericks,103,American Airlines Center,/boxscores/202401090DAL.html
"Tue, Jan 9, 2024",10:30p,Toronto Raptors,131,Los Angeles Lakers,132,Crypto.com Arena,/boxscores/202401090LAL.html
"Wed, Jan 10, 2024",7:00p,Minnesota Timberwolves,120,Boston Celtics,127,TD Garden,/boxscores/202401100BOS.html
"Wed, Jan 10, 2024",7:00p,Sacramento Kings,123,Charlotte Hornets,98,Spectrum Center,/boxscores/202401100CHO.html
"Wed, Jan 10, 2024",7:00p,San Antonio Spurs,130,Detroit Pistons,108,Little Caesars Arena,/boxscores/202401100DET.html
"Wed, Jan 10, 2024",7:00p,Washington Wizards,104,Indiana Pacers,112,Gainbridge Fieldhouse,/boxscores/202401100IND.html
"Wed, Jan 10, 2024",7:30p,Philadelphia 76ers,132,Atlanta Hawks,139,State Farm Arena,/boxscores/202401100ATL.html
"Wed, Jan 10, 2024",7:30p,Oklahoma City Thunder,128,Miami Heat,120,Kaseya Center,/boxscores/202401100MIA.html
"Wed, Jan 10, 2024",8:00p,Houston Rockets,119,Chicago Bulls,124,United Center,/boxscores/202401100CHI.html
"Wed, Jan 10, 2024",8:30p,New Orleans Pelicans,141,Golden State Warriors,105,Chase Center,/boxscores/202401100GSW.html
"Wed, Jan 10, 2024",10:00p,Denver Nuggets,111,Utah Jazz,124,Delta Center,/boxscores/202401100UTA.html
"Wed, Jan 10, 2024",10:30p,Toronto Raptors,120,Los Angeles Clippers,126,Crypto.com Arena,/boxscores/202401100LAC.html
"Thu, Jan 11, 2024",2:00p,Brooklyn Nets,102,Cleveland Cavaliers,111,AccorHotels Arena,/boxscores/202401110CLE.html
"Thu, Jan 11, 2024",7:30p,Boston Celtics,102,Milwaukee Bucks,135,Fiserv Forum,/boxscores/202401110MIL.html
"Thu, Jan 11, 2024",8:00p,Portland Trail Blazers,77,Oklahoma City Thunder,139,Paycom Center,/boxscores/202401110OKC.html
"Thu, Jan 11, 2024",8:30p,New York Knicks,124,Dallas Mavericks,128,American Airlines Center,/boxscores/202401110DAL.html
"Thu, Jan 11, 2024",10:00p,Phoenix Suns,127,Los Angeles Lakers,109,Crypto.com Arena,/boxscores/202401110LAL.html
"Fri, Jan 12, 2024",7:30p,Indiana Pacers,126,Atlanta Hawks,108,State Farm Arena,/boxscores/202401120ATL.html
"Fri, Jan 12, 2024",7:30p,Houston Rockets,112,Detroit Pistons,110,Little Caesars Arena,/boxscores/202401120DET.html
"Fri, Jan 12, 2024",7:30p,Sacramento Kings,93,Philadelphia 76ers,112,Wells Fargo Center,/boxscores/202401120PHI.html
"Fri, Jan 12, 2024",8:00p,Golden State Warriors,140,Chicago Bulls,131,United Center,/boxscores/202401120CHI.html
"Fri, Jan 12, 2024",8:00p,Los Angeles Clippers,128,Memphis Grizzlies,119,FedEx Forum,/boxscores/202401120MEM.html
"Fri, Jan 12, 2024",8:00p,Orlando Magic,96,Miami Heat,99,Kaseya Center,/boxscores/202401120MIA.html
"Fri, Jan 12, 2024",8:00p,Portland Trail Blazers,93,Minnesota Timberwolves,116,Target Center,/boxscores/202401120MIN.html
"Fri, Jan 12, 2024",8:00p,Charlotte Hornets,99,San Antonio Spurs,135,Frost Bank Center,/boxscores/202401120SAS.html
"Fri, Jan 12, 2024",9:30p,Toronto Raptors,113,Utah Jazz,145,Delta Center,/boxscores/202401120UTA.html
"Fri, Jan 12, 2024",10:00p,New Orleans Pelicans,113,Denver Nuggets,125,Ball Arena,/boxscores/202401120DEN.html
"Sat, Jan 13, 2024",7:00p,Houston Rockets,113,Boston Celtics,145,TD Garden,/boxscores/202401130BOS.html
"Sat, Jan 13, 2024",7:30p,Washington Wizards,127,Atlanta Hawks,99,State Farm Arena,/boxscores/202401130ATL.html
"Sat, Jan 13, 2024",8:00p,New York Knicks,106,Memphis Grizzlies,94,FedEx Forum,/boxscores/202401130MEM.html
"Sat, Jan 13, 2024",8:00p,Golden State Warriors,118,Milwaukee Bucks,129,Fiserv Forum,/boxscores/202401130MIL.html
"Sat, Jan 13, 2024",8:00p,Orlando Magic,100,Oklahoma City Thunder,112,Paycom Center,/boxscores/202401130OKC.html
"Sat, Jan 13, 2024",8:30p,New Orleans Pelicans,118,Dallas Mavericks,108,American Airlines Center,/boxscores/202401130DAL.html
"Sat, Jan 13, 2024",8:30p,Chicago Bulls,122,San Antonio Spurs,116,Frost Bank Center,/boxscores/202401130SAS.html
"Sat, Jan 13, 2024",9:30p,Los Angeles Lakers,125,Utah Jazz,132,Delta Center,/boxscores/202401130UTA.html
"Sun, Jan 14, 2024",3:30p,Indiana Pacers,109,Denver Nuggets,117,Ball Arena,/boxscores/202401140DEN.html
"Sun, Jan 14, 2024",6:00p,Charlotte Hornets,87,Miami Heat,104,Kaseya Center,/boxscores/202401140MIA.html
"Sun, Jan 14, 2024",7:00p,Sacramento Kings,142,Milwaukee Bucks,143,Fiserv Forum,/boxscores/202401140MIL.html
"Sun, Jan 14, 2024",7:00p,Los Angeles Clippers,105,Minnesota Timberwolves,109,Target Center,/boxscores/202401140MIN.html
"Sun, Jan 14, 2024",9:00p,Phoenix Suns,127,Portland Trail Blazers,116,Moda Center,/boxscores/202401140POR.html
"Mon, Jan 15, 2024",1:00p,Houston Rockets,115,Philadelphia 76ers,124,Wells Fargo Center,/boxscores/202401150PHI.html
"Mon, Jan 15, 2024",2:30p,New Orleans Pelicans,120,Dallas Mavericks,125,American Airlines Center,/boxscores/202401150DAL.html
"Mon, Jan 15, 2024",3:00p,Orlando Magic,98,New York Knicks,94,Madison Square Garden (IV),/boxscores/202401150NYK.html
"Mon, Jan 15, 2024",3:00p,Detroit Pistons,129,Washington Wizards,117,Capital One Arena,/boxscores/202401150WAS.html
"Mon, Jan 15, 2024",3:30p,San Antonio Spurs,99,Atlanta Hawks,109,State Farm Arena,/boxscores/202401150ATL.html
"Mon, Jan 15, 2024",6:00p,Golden State Warriors,107,Memphis Grizzlies,116,FedEx Forum,/boxscores/202401150MEM.html
"Mon, Jan 15, 2024",7:00p,Chicago Bulls,91,Cleveland Cavaliers,109,Rocket Mortgage Fieldhouse,/boxscores/202401150CLE.html
"Mon, Jan 15, 2024",7:30p,Miami Heat,96,Brooklyn Nets,95,Barclays Center,/boxscores/202401150BRK.html
"Mon, Jan 15, 2024",7:30p,Boston Celtics,105,Toronto Raptors,96,Scotiabank Arena,/boxscores/202401150TOR.html
"Mon, Jan 15, 2024",9:00p,Indiana Pacers,105,Utah Jazz,132,Delta Center,/boxscores/202401150UTA.html
"Mon, Jan 15, 2024",10:30p,Oklahoma City Thunder,105,Los Angeles Lakers,112,Crypto.com Arena,/boxscores/202401150LAL.html
"Tue, Jan 16, 2024",7:30p,Denver Nuggets,121,Philadelphia 76ers,126,Wells Fargo Center,/boxscores/202401160PHI.html
"Tue, Jan 16, 2024",9:00p,Sacramento Kings,117,Phoenix Suns,119,Footprint Center,/boxscores/202401160PHO.html
"Tue, Jan 16, 2024",10:00p,Oklahoma City Thunder,117,Los Angeles Clippers,128,Crypto.com Arena,/boxscores/202401160LAC.html
"Wed, Jan 17, 2024",7:00p,Minnesota Timberwolves,124,Detroit Pistons,117,Little Caesars Arena,/boxscores/202401170DET.html
"Wed, Jan 17, 2024",7:30p,Orlando Magic,104,Atlanta Hawks,106,State Farm Arena,/boxscores/202401170ATL.html
"Wed, Jan 17, 2024",7:30p,San Antonio Spurs,98,Boston Celtics,117,TD Garden,/boxscores/202401170BOS.html
"Wed, Jan 17, 2024",7:30p,Milwaukee Bucks,95,Cleveland Cavaliers,135,Rocket Mortgage Fieldhouse,/boxscores/202401170CLE.html
"Wed, Jan 17, 2024",7:30p,Houston Rockets,94,New York Knicks,109,Madison Square Garden (IV),/boxscores/202401170NYK.html
"Wed, Jan 17, 2024",7:30p,Miami Heat,97,Toronto Raptors,121,Scotiabank Arena,/boxscores/202401170TOR.html
"Wed, Jan 17, 2024",8:00p,Charlotte Hornets,112,New Orleans Pelicans,132,Smoothie King Center,/boxscores/202401170NOP.html
"Wed, Jan 17, 2024",8:30p,Dallas Mavericks,110,Los Angeles Lakers,127,Crypto.com Arena,/boxscores/202401170LAL.html
"Wed, Jan 17, 2024",10:00p,Brooklyn Nets,103,Portland Trail Blazers,105,Moda Center,/boxscores/202401170POR.html
"Thu, Jan 18, 2024",7:30p,Washington Wizards,109,New York Knicks,113,Madison Square Garden (IV),/boxscores/202401180NYK.html
"Thu, Jan 18, 2024",7:30p,Chicago Bulls,116,Toronto Raptors,110,Scotiabank Arena,/boxscores/202401180TOR.html
"Thu, Jan 18, 2024",9:00p,Oklahoma City Thunder,134,Utah Jazz,129,Delta Center,/boxscores/202401180UTA.html
"Thu, Jan 18, 2024",10:00p,Memphis Grizzlies,103,Minnesota Timberwolves,118,Target Center,/boxscores/202401180MIN.html
"Thu, Jan 18, 2024",10:00p,Indiana Pacers,126,Sacramento Kings,121,Golden 1 Center,/boxscores/202401180SAC.html
"Fri, Jan 19, 2024",7:00p,San Antonio Spurs,120,Charlotte Hornets,124,Spectrum Center,/boxscores/202401190CHO.html
"Fri, Jan 19, 2024",7:00p,Philadelphia 76ers,124,Orlando Magic,109,Kia Center,/boxscores/202401190ORL.html
"Fri, Jan 19, 2024",7:30p,Denver Nuggets,102,Boston Celtics,100,TD Garden,/boxscores/202401190BOS.html
"Fri, Jan 19, 2024",8:00p,Atlanta Hawks,109,Miami Heat,108,Kaseya Center,/boxscores/202401190MIA.html
"Fri, Jan 19, 2024",8:00p,Phoenix Suns,123,New Orleans Pelicans,109,Smoothie King Center,/boxscores/202401190NOP.html
"Fri, Jan 19, 2024",10:00p,Indiana Pacers,115,Portland Trail Blazers,118,Moda Center,/boxscores/202401190POR.html
"Fri, Jan 19, 2024",10:30p,Brooklyn Nets,130,Los Angeles Lakers,112,Crypto.com Arena,/boxscores/202401190LAL.html
"Sat, Jan 20, 2024",3:00p,Milwaukee Bucks,141,Detroit Pistons,135,Little Caesars Arena,/boxscores/202401200DET.html
"Sat, Jan 20, 2024",7:00p,Philadelphia 76ers,97,Charlotte Hornets,89,Spectrum Center,/boxscores/202401200CHO.html
"Sat, Jan 20, 2024",7:00p,San Antonio Spurs,131,Washington Wizards,127,Capital One Arena,/boxscores/202401200WAS.html
"Sat, Jan 20, 2024",7:30p,Cleveland Cavaliers,116,Atlanta Hawks,95,State Farm Arena,/boxscores/202401200ATL.html
"Sat, Jan 20, 2024",7:30p,Toronto Raptors,100,New York Knicks,126,Madison Square Garden (IV),/boxscores/202401200NYK.html
